,u,i,ts,label,idx
0,10,271,0.0,-1.0,1
1,10,970,0.0,-1.0,2
2,113,54,0.0,-1.0,3
3,2,402,0.0,-1.0,4
4,54,119,172800.0,-1.0,5
5,119,54,172800.0,-1.0,6
6,119,471,172800.0,-1.0,7
7,119,271,172800.0,-1.0,8
8,119,2,172800.0,-1.0,9
9,168,74,259200.0,-1.0,10
10,271,471,345600.0,-1.0,11
11,271,113,345600.0,-1.0,12
12,271,119,345600.0,-1.0,13
13,271,2,345600.0,-1.0,14
14,271,54,345600.0,-1.0,15
15,37,474,432000.0,-1.0,16
16,474,37,432000.0,-1.0,17
17,37,113,518400.0,-1.0,18
18,113,37,518400.0,-1.0,19
19,54,37,518400.0,-1.0,20
20,10,168,604800.0,-1.0,21
21,168,10,604800.0,-1.0,22
22,168,439,604800.0,-1.0,23
23,99,10,864000.0,-1.0,24
24,10,99,864000.0,-1.0,25
25,37,1632,950400.0,-1.0,26
26,1632,37,950400.0,-1.0,27
27,1127,113,1036800.0,-1.0,28
28,10,2,1296000.0,-1.0,29
29,1127,2,1468800.0,-1.0,30
30,2,1127,1468800.0,-1.0,31
31,4,113,1555200.0,-1.0,32
32,113,4,1555200.0,-1.0,33
33,2,168,1728000.0,-1.0,34
34,1632,2,1814400.0,-1.0,35
35,2,10,1814400.0,-1.0,36
36,1,113,1814400.0,-1.0,37
37,2,1632,1814400.0,-1.0,38
38,1,2,1900800.0,-1.0,39
39,121,505,1900800.0,-1.0,40
40,505,121,1900800.0,-1.0,41
41,168,2,1987200.0,-1.0,42
42,471,2,2073600.0,-1.0,43
43,4,99,2160000.0,-1.0,44
44,505,3603,2246400.0,-1.0,45
45,3603,505,2246400.0,-1.0,46
46,91,3603,2332800.0,-1.0,47
47,91,297,2332800.0,-1.0,48
48,3603,91,2332800.0,-1.0,49
49,91,4,2332800.0,-1.0,50
50,74,312,2419200.0,-1.0,51
51,74,168,2419200.0,-1.0,52
52,4,10,2505600.0,-1.0,53
53,10,4,2505600.0,-1.0,54
54,297,91,2851200.0,-1.0,55
55,238,99,2851200.0,-1.0,56
56,99,238,2851200.0,-1.0,57
57,2473,99,2851200.0,-1.0,58
58,99,2473,2851200.0,-1.0,59
59,121,40,2937600.0,-1.0,60
60,40,121,2937600.0,-1.0,61
61,119,121,3024000.0,-1.0,62
62,121,119,3024000.0,-1.0,63
63,121,4,3110400.0,-1.0,64
64,4,121,3110400.0,-1.0,65
65,99,4,3456000.0,-1.0,66
